list
13/50
253/50
292/25
21/25
64/25
91/25
97/100
23/10
83/25
51/50
12/5
151/50
64/25
23/10
119/100
117/100
11/5
11/4
11/10
64/25
127/50
16/25
151/50
114/25
959/100
124/25
29/100
247/50
301/100
3/5
23/100
263/50
57/5
29/20
241/100
187/100
69/100
271/100
217/50
139/100
223/100
211/100
11/50
136/25
1279/100
207/50
139/50
37/50
117/100
49/20
63/25
51/100
331/100
313/50
521/100
77/25
3/5
123/100
119/50
62/25
113/100
119/50
11/4
113/100
49/20
263/100
267/50
307/100
59/100
3/5
3/1
533/100
97/100
257/100
153/50
69/100
12/5
87/20
27/5
14/5
51/100
21/100
9/2
13/1
38/25
11/5
17/10
127/100
56/25
2/1
13/50
4/1
21/2
97/100
23/10
68/25
63/100
13/5
22/5
107/100
56/25
62/25
71/50
23/10
179/100
28/25
23/10
57/25
33/25
23/10
189/100
61/50
23/10
52/25
61/50
56/25
219/100
33/25
56/25
2/1
