list
Manchester United - Bournemouth
Leicester - Hull City
Stoke City - Middlesbrough
Swansea - Burnley
Watford - Southampton
West Brom - Crystal Palace
Liverpool - Arsenal
Tottenham - Everton
Sunderland - Manchester City
West Ham - Chelsea
Manchester City - Stoke City
Bournemouth - West Ham
Everton - West Brom
Hull City - Swansea
Liverpool - Burnley
West Brom - Arsenal
Crystal Palace - Watford
Everton - Hull City
Stoke City - Chelsea
Sunderland - Burnley
West Ham - Leicester
Bournemouth - Swansea
Middlesbrough - Manchester United
Tottenham - Southampton
Manchester City - Liverpool
Liverpool - Everton
Burnley - Tottenham
Chelsea - Crystal Palace
Hull City - West Ham
Leicester - Stoke City
Manchester United - West Brom
Watford - Sunderland
Southampton - Bournemouth
Swansea - Middlesbrough
Arsenal - Manchester City
Chelsea - Manchester City
Manchester United - Chelsea
Tottenham - Arsenal
Arsenal - Manchester United
Tottenham - Manchester United
